8823,HOLIDAY,Na･de･Na･deボーイ,P,SUGINAMI MELODY,Y,あじさい通り,ありふれた人生,あわ,いろは,うめぼし,おっぱい,けもの道,さらばユニヴァース,さわって・変わって,ただ春を待つ,たまご,つぐみ,ほうき星,みそか,アカネ,アパート,インディゴ地平線,ウィリー,ウサギのバイク,エスカルゴ,エトランゼ,ガーベラ,クリスピー,グラスホッパー,コスモス,シャララ,ジュテーム？,スーパーノヴァ,スカーレット,スターゲイザー,スパイダー,スピカ,センチメンタル,チェリー,テイタム・オニール,テクテク,テレビ,トゲトゲの木,トビウオ,トンガリ’95,ナナへの気持ち,ナンプラー日和,ニノウデの世界,ネズミの進化,ハートが帰らない,ハイファイ・ローファイ,ハチミツ,ハネモノ,ハヤテ,バニーガール,ババロア,ヒバリのこころ,ビー玉,フェイクファー,プール,ヘチマの花,ベビーフェイス,マーメイド,マフラーマン,ミカンズのテーマ,ムーンライト,メモリーズ,ルキンフォー,ルナルナ,ローテク・ロマンティカ,ロビンソン,ワタリ,愛のことば,稲穂,運命の人,俺のすべて,俺の赤い星,夏が終わる,夏の魔物,花泥棒,会いに行くよ,海とピンク,海ねこ,海を見に行こう,甘い手,甘ったれクリーチャー,魚,胸に咲いた黄色い花,空も飛べるはず,君が思い出になる前に,君と暮らせたら,群青,今,砂漠の花,三日月ロック その３,自転車,謝々！,若葉,春の歌,春夏ロケット,初恋クレイジー,渚,心の底から,正夢,青い車,青春生き残りゲーム,船乗り,孫悟空,大宮サンセット,仲良し,鳥になって,点と点,田舎の生活,桃,日なたの窓に憧れて,猫になりたい,不思議,不死身のビーナス,楓,歩き出せ、クローバー,放浪カモメはどこまでも,僕のギター,僕の天使マリ,僕はジェット,魔女旅に出る,魔法のコトバ,夢じゃない,夢追い虫,名前をつけてやる,迷子の兵隊,夜を駆ける,野生のチューリップ,優しくなりたいな,夕焼け,夕陽が笑う、君も笑う,遥か,裸のままで,流れ星,旅の途中,旅人,涙がキラリ☆,冷たい頬,恋のうた,恋のはじまり,恋は夕暮れ,漣,惑星のかけら,1-2 Love Forever,Sakura,,3月9日,もっと遠くへ,アカシア,シフト,スタンドバイミー,モラトリアム,茜空,雨上がり,蛍,紙ふぶき,電話,南風,粉雪,夢の蕾,流星,#2601,365日,All by myself,Another Mind,Another Story,Any,CANDY,CROSS ROAD,Drawing,Everything (It’s you),GIFT,HANABI,HERO,I’LL BE,Image,It’s a wonderful world,Love is Blindness,Mirror,NOT FOUND,PADDLE,Pink～奇妙な夢,Prism,Replay,Round About～孤独の肖像～,SUNRISE,Sign,So Let’s Get Truth,Surrender,Tomorrow never knows,UFO,Wake me up!,and I love you,everybody goes～秩序のない現代にドロップキック～,my confidence song,youthful days,【es】～Theme of es～,ありふれた Love Story～男女問題はいつも面倒だ～,あんまり覚えてないや,かぞえうた,くるみ,こんな風にひどく蒸し暑い日,しるし,その向こうへ行こう,ためいきの日曜日,つよがり,また会えるかな,もっと,innocent world,エソラ,シーソーゲーム～勇敢な恋の歌～,ジェラシー,スロースターター,タガタメ,ニシエヒガシエ,フェイク,ポケット カスタネット,メインストリートに行こう,ヨーイドン,ランニングハイ,ロード・アイ・ミス・ユー,ロードムービー,ロックンロールは生きている,雨のち晴れ,花 -Mémento-Mori-,花の匂い,花言葉,隔たり,祈り ～涙の軌道,空風の帰り道,君がいた夏,君が好き,君の事以外は何も考えられない,血の管,言わせてみてぇもんだ,口がすべって,口笛,彩り,思春期の夏～君との恋が今も牧場に～,車の中でかくれてキスをしよう,終わりなき旅,終末のコンフィデンスソング,十二月のセントラルパークブルース,少年,掌,深海,水上バス,声,跳べ,通り雨,天頂バス,東京,逃亡者,独り言,虹の彼方へ,風～The wind knows how I feel～,風と星とメビウスの輪,抱きしめたい,僕らの音,未来,名もなき詩,妄想満月,優しい歌,羊、吠える,旅人,旅立ちの唄,虜,箒星,蜃気楼,AM11:00,DADA
8823, 0, 44459, 12976, 31086, 57303, 71781, 50164, 34615, 38406, 60808, 15133, 13248, 8317, 51376, 24120, 33200, 11890, 39632, 59644, 17820, 14080, 7200, 52545, 36582, 12707, 20733, 27507, 10218, 31828, 10979, 30402, 9848, 11224, 37406, 28961, 26519, 13865, 24530, 49600, 2160, 28825, 9267, 8875, 13727, 13473, 12575, 40307, 66621, 43632, 10910, 65820, 8692, 10537, 18664, 45964, 13381, 48308, 13745, 17972, 11361, 37875, 66268, 40482, 19266, 53313, 49199, 62962, 60416, 41662, 52125, 67472, 43416, 61049, 29401, 13681, 26148, 17889, 39825, 71416, 9434, 64098, 18077, 46724, 56463, 23945, 36723, 43132, 13410, 33157, 11899, 44854, 12181, 33273, 42964, 42075, 15578, 6381, 17528, 30878, 10462, 30335, 22643, 14954, 19617, 6124, 40395, 56770, 42749, 47215, 22644, 18844, 12827, 3175, 16668, 25208, 59575, 24171, 21706, 6352, 13749, 34089, 14816, 32506, 21630, 8615, 24550, 37062, 29400, 58030, 27772, 64764, 3008, 12853, 27150, 27648, 38311, 44726, 27764, 50501, 58516, 21360, 30100, 33954, 30724, 43696, 16949, 16226, 36150, 35444, 45280, 71416, 10152, 44800, 61587, 14938, 62140, 26295, 64928, 48280, 59295, 60288, 58839, 66949, 41914, 53326, 57304, 51628, 65337, 64426, 27296, 62755, 69761, 66700, 65467, 68935, 38721, 53573, 71416, 62547, 71908, 65824, 66716, 50992, 29776, 71908, 40517, 36806, 11508, 55630, 35396, 23251, 64016, 10643, 3654, 60664, 59564, 64821, 58430, 63174, 31546, 36305, 67435, 53910, 67624, 54403, 64807, 66716, 68255, 67666, 71416, 53581, 14175, 69652, 48994, 61547, 48950, 40773, 50248, 64043, 71908, 49814, 56535, 29933, 46845, 67193, 48782, 23639, 8209, 38932, 28489, 70790, 58298, 45744, 56667, 41135, 67441, 66522, 22045, 64354, 48985, 52411, 66165, 62164, 64665, 13827, 70197, 61528, 62828, 67568, 55585, 48780, 66606, 50980, 26110, 35368, 64278, 49875, 13856, 30976, 40719, 30571, 63544, 57225, 69653, 69016, 51459, 54181, 44985, 63673, 35036, 60788, 63992, 64205, 38704, 13787, 7106 
HOLIDAY, 44459, 0, 13949, 2797, 2126, 4496, 1711, 3078, 1883, 2817, 9620, 10789, 20914, 2031, 6637, 1547, 21233, 1517, 2775, 11961, 20451, 17861, 1064, 2369, 15586, 6760, 7352, 54893, 2575, 13254, 2713, 46417, 38461, 3177, 3428, 3436, 10164, 3833, 2079, 37269, 2442, 19738, 26712, 14352, 12650, 16768, 322, 3296, 1941, 16085, 3317, 25467, 31224, 7031, 2025, 9682, 1107, 27060, 15987, 17772, 1370, 3555, 687, 6745, 1888, 1022, 3089, 2799, 765, 1304, 3729, 295, 2132, 3018, 10954, 3121, 9938, 2588, 4479, 19233, 3217, 7584, 1755, 1958, 3704, 5346, 2147, 12719, 2744, 13692, 1641, 22282, 1168, 2205, 1500, 16459, 34882, 11421, 2283, 21701, 5566, 7142, 11245, 10040, 29987, 1746, 2191, 2156, 1954, 5875, 10651, 17888, 31092, 18007, 5491, 2390, 4596, 6619, 21239, 36544, 2214, 16011, 3281, 7283, 17332, 4731, 1073, 5455, 1821, 3985, 3295, 27223, 44482, 4303, 6845, 2232, 465, 3199, 1002, 2769, 7199, 2473, 1261, 4953, 575, 10420, 10031, 3067, 1447, 851, 4449, 26675, 195, 2624, 13011, 2239, 4064, 2833, 2799, 2068, 2469, 2206, 3232, 1125, 1463, 2115, 3735, 2844, 3087, 4543, 2522, 4122, 3265, 2946, 3920, 2036, 1732, 4449, 2384, 4567, 3345, 3619, 679, 3577, 4587, 1700, 1445, 16583, 2019, 2129, 3866, 2639, 23112, 58167, 1989, 1839, 3260, 2003, 2719, 1793, 1622, 3732, 1971, 3649, 1856, 3296, 3489, 3694, 3915, 4449, 1262, 11180, 4131, 1173, 2482, 653, 1032, 4225, 3100, 4567, 1089, 2152, 2324, 1896, 3582, 775, 8866, 58724, 747, 3578, 4269, 2169, 1207, 1868, 1334, 3742, 3137, 6506, 3087, 804, 1176, 3294, 2901, 2600, 12212, 4212, 2579, 2967, 3633, 1932, 2519, 3459, 1961, 6355, 1735, 3329, 862, 27401, 4539, 424, 1662, 2679, 1420, 4132, 3999, 788, 852, 1292, 2852, 3331, 2697, 3221, 3140, 2581, 17292, 26497 
Na･de･Na･deボーイ, 12976, 13949, 0, 6752, 20923, 30783, 17988, 9687, 10386, 21608, 2051, 1016, 3067, 17860, 5704, 8536, 6518, 11456, 20684, 6404, 2244, 1922, 18365, 11370, 3995, 3665, 4657, 19086, 6164, 1705, 7938, 16542, 14538, 12534, 5745, 5593, 2321, 3618, 17864, 7354, 7347, 3527, 3557, 3261, 375, 1289, 12133, 27403, 14452, 3198, 26462, 7196, 4679, 4434, 14354, 2453, 17012, 9539, 5856, 4141, 11193, 27316, 12552, 3546, 19187, 17065, 25128, 21296, 12016, 18627, 27812, 13946, 24153, 7497, 1449, 5490, 4055, 11001, 30536, 3204, 26240, 3301, 14554, 21051, 5135, 7219, 13046, 2150, 8883, 2417, 14262, 8323, 7711, 13424, 14059, 5526, 9705, 2366, 7520, 6552, 7339, 5257, 3868, 1477, 5236, 12915, 20910, 12789, 14943, 4372, 3388, 4319, 5799, 6768, 6072, 23435, 3395, 3640, 1620, 14207, 8351, 4612, 7894, 5220, 921, 5580, 10308, 6666, 22064, 4854, 26104, 4736, 18705, 5912, 4028, 10695, 14510, 6708, 17471, 19796, 5254, 6770, 8578, 6894, 13080, 4279, 862, 9276, 10440, 14368, 30296, 6994, 14682, 24155, 4616, 23866, 6179, 26268, 13672, 22197, 22340, 21617, 27645, 12592, 19096, 21284, 14588, 26585, 24782, 4726, 24665, 29101, 27582, 26665, 28865, 9937, 18875, 30296, 24841, 30708, 25664, 27592, 18432, 6508, 30892, 11569, 10684, 2180, 20170, 8362, 3315, 25732, 7843, 20106, 23524, 23240, 26385, 21764, 24100, 7366, 9235, 27861, 19686, 27144, 18965, 26131, 26396, 28479, 28430, 30296, 19767, 3511, 29240, 16478, 23923, 15856, 12615, 13608, 25325, 30708, 17804, 19487, 7351, 16515, 26701, 16398, 2767, 22591, 11316, 7075, 30136, 22312, 13816, 20703, 12633, 28069, 27016, 2843, 25262, 16913, 18701, 27065, 24340, 26179, 3795, 29727, 23388, 23228, 27408, 20475, 14196, 27022, 16868, 5430, 9302, 26214, 16789, 11426, 6700, 11949, 7941, 25204, 21451, 29335, 29032, 17917, 19731, 14027, 25319, 9380, 22364, 25880, 25657, 12410, 5207, 6902 
P, 31086, 2797, 6752, 0, 4805, 9681, 3144, 1063, 850, 5562, 3901, 5804, 14159, 3318, 1820, 634, 15402, 1204, 5232, 5290, 11198, 10614, 3943, 1396, 9353, 4757, 2313, 41154, 876, 5671, 896, 36464, 30616, 2096, 1837, 1089, 4447, 1166, 3416, 24130, 881, 12071, 16985, 9293, 5737, 8247, 2397, 7741, 2142, 9280, 7380, 17720, 18991, 2584, 2412, 4073, 3416, 21115, 9880, 11639, 2565, 7912, 1290, 2056, 3913, 2991, 6698, 5448, 1230, 3825, 8178, 2264, 6459, 2223, 5505, 1292, 6949, 1581, 9558, 10562, 7092, 4749, 2162, 4581, 2191, 2307, 1944, 5322, 1715, 7097, 1956, 16729, 969, 2272, 1953, 10414, 25559, 4206, 544, 16730, 2313, 4427, 7734, 6001, 19202, 1465, 4674, 1895, 2475, 4220, 6848, 12867, 20233, 11950, 1254, 5805, 677, 5262, 11466, 29199, 749, 10946, 756, 4010, 9099, 1828, 1732, 1524, 5132, 1834, 7312, 17146, 37969, 4702, 2056, 1973, 2264, 2792, 3211, 4938, 5802, 796, 1126, 1748, 1948, 3699, 4140, 1458, 3974, 2024, 9498, 18960, 2970, 6159, 8714, 6218, 2481, 7324, 2920, 5203, 5548, 5005, 8073, 1454, 3870, 4648, 3888, 7451, 6786, 634, 6461, 8837, 8002, 7433, 8667, 587, 3713, 9498, 6561, 9712, 7242, 8046, 5488, 368, 9784, 1027, 1448, 10948, 4460, 604, 1629, 7130, 17815, 43086, 6094, 6072, 7407, 4998, 6290, 844, 695, 8135, 4010, 7930, 3899, 7173, 7578, 8377, 8298, 9498, 4197, 7215, 8862, 2716, 6089, 2622, 1869, 3898, 6783, 9712, 3422, 4343, 1531, 2605, 7741, 2782, 2859, 45223, 1916, 901, 9318, 5336, 2064, 4529, 1339, 8225, 7808, 1699, 6930, 3047, 3699, 7817, 6400, 7381, 7509, 9141, 5968, 6192, 7954, 4299, 2784, 7756, 3226, 1838, 594, 7244, 2983, 23778, 1190, 1577, 2559, 6772, 5077, 8913, 8776, 3395, 4385, 1753, 6733, 1216, 5574, 7112, 7073, 1698, 11255, 18120 
SUGINAMI MELODY, 57303, 2126, 20923, 4805, 0, 1082, 593, 3608, 2853, 353, 15852, 18423, 32092, 443, 8477, 3887, 32737, 1813, 437, 14649, 25589, 26517, 438, 2783, 24772, 14530, 9972, 71593, 5233, 19670, 5827, 63683, 55147, 2939, 7828, 7360, 16594, 8387, 537, 48747, 5066, 30022, 37452, 24132, 19280, 21978, 3244, 682, 2099, 25663, 475, 37765, 38020, 11233, 1397, 15726, 1413, 41138, 24373, 28036, 4412, 629, 2067, 10669, 574, 1070, 387, 377, 1917, 914, 563, 1745, 530, 7514, 17946, 7903, 19022, 2150, 1049, 28099, 741, 15266, 1737, 608, 9192, 6516, 1283, 17153, 6002, 21814, 1095, 34070, 3880, 2857, 1654, 25625, 49640, 14667, 5213, 34609, 6160, 14132, 20755, 17582, 42023, 2028, 127, 1356, 692, 13361, 19201, 29458, 42668, 27001, 7431, 272, 8396, 14615, 29145, 52504, 4180, 26361, 3963, 14065, 25848, 9653, 4047, 8297, 679, 8645, 347, 37561, 63136, 11017, 9051, 4324, 1515, 8841, 454, 557, 15613, 5897, 4521, 7051, 1613, 13752, 16115, 4075, 6869, 1049, 977, 39319, 1931, 210, 22327, 257, 9096, 489, 1649, 244, 123, 220, 666, 1897, 357, 261, 2405, 590, 299, 7061, 294, 790, 675, 588, 740, 2680, 130, 977, 406, 1053, 377, 645, 2361, 5165, 1085, 1748, 3391, 27057, 423, 3227, 9094, 553, 36048, 74221, 353, 533, 542, 195, 227, 4963, 3416, 628, 359, 513, 92, 444, 437, 712, 821, 977, 504, 20560, 827, 437, 244, 787, 2630, 3105, 366, 1053, 527, 196, 6556, 1006, 474, 575, 11230, 76914, 3565, 5510, 971, 479, 1329, 112, 1520, 626, 547, 10598, 299, 682, 584, 534, 221, 586, 21430, 880, 169, 293, 553, 862, 1253, 479, 981, 7653, 3117, 423, 396, 43079, 5243, 2084, 6230, 377, 362, 826, 849, 596, 790, 910, 350, 3545, 233, 357, 352, 3623, 26986, 39157 
Y, 71781, 4496, 30783, 9681, 1082, 0, 2133, 7818, 6631, 1363, 23846, 27261, 43190, 2147, 14655, 8015, 42739, 5173, 1693, 22123, 37049, 37117, 1794, 6295, 33818, 21494, 16658, 87207, 10297, 28684, 10265, 77825, 67611, 6469, 13364, 12818, 24670, 14579, 2333, 62787, 9790, 40392, 50006, 33290, 28666, 32480, 6146, 200, 4811, 34983, 251, 48805, 51524, 17905, 4273, 23610, 3109, 52110, 33201, 37922, 8118, 349, 4825, 17557, 1858, 2794, 379, 1469, 4893, 2448, 107, 4143, 602, 12614, 26746, 13251, 26796, 6120, 19, 38375, 523, 22548, 4283, 1458, 14900, 12138, 4489, 26261, 10524, 30702, 3795, 43836, 8208, 5943, 4214, 34799, 62362, 23271, 9771, 44809, 12102, 20724, 28785, 26218, 54601, 5102, 1073, 4612, 3280, 19901, 27381, 39318, 55574, 36421, 13237, 594, 14658, 21671, 40413, 64820, 8662, 35579, 8753, 20603, 36206, 15317, 7585, 13823, 1281, 14551, 253, 49785, 76528, 16777, 16011, 8380, 3727, 14093, 2008, 2059, 22301, 10739, 8659, 12751, 4305, 21398, 24605, 8833, 10651, 3453, 19, 50793, 4107, 438, 30635, 477, 14760, 205, 4781, 918, 797, 1002, 108, 4767, 1631, 1021, 5629, 218, 499, 13023, 378, 54, 115, 218, 66, 6436, 1544, 19, 360, 13, 403, 299, 3709, 10307, 13, 5132, 7129, 37149, 1549, 7653, 15362, 339, 46262, 90403, 569, 779, 396, 945, 509, 9513, 7354, 100, 1479, 211, 1530, 254, 299, 74, 139, 19, 1450, 28594, 43, 2289, 514, 2759, 5470, 6739, 342, 13, 2093, 1576, 11302, 3022, 278, 2415, 19004, 92264, 6817, 10506, 5, 1111, 3861, 1042, 4478, 90, 141, 17486, 427, 2306, 1966, 146, 449, 266, 29562, 16, 665, 893, 155, 1842, 4253, 189, 2989, 14031, 7107, 257, 2152, 53597, 10763, 4980, 10724, 317, 1010, 34, 109, 2038, 1774, 3434, 312, 7829, 935, 273, 326, 6699, 36386, 50183 
あじさい通り, 50164, 1711, 17988, 3144, 593, 2133, 0, 2001, 2064, 1426, 12105, 15304, 28367, 366, 5948, 2266, 28968, 910, 1504, 11050, 23342, 22458, 645, 1280, 19953, 12157, 8777, 64378, 4184, 15485, 3434, 56838, 48504, 1548, 6177, 5611, 12813, 6494, 248, 43048, 3321, 24939, 33251, 20061, 16351, 19255, 2255, 1393, 1218, 21114, 1406, 33120, 34755, 7950, 1144, 12217, 1240, 35935, 20168, 24517, 3459, 1504, 906, 7686, 757, 785, 890, 1448, 1294, 873, 1502, 960, 1085, 5731, 14769, 5536, 15831, 1767, 2050, 23572, 1426, 12275, 1024, 537, 7151, 6017, 972, 14252, 4297, 17261, 652, 30105, 2685, 1944, 549, 21362, 43119, 12086, 3298, 30322, 5197, 11025, 16802, 15613, 36468, 893, 484, 999, 651, 10744, 16024, 25587, 36855, 23092, 4860, 523, 6201, 12352, 24928, 46511, 3145, 22138, 2652, 10688, 21589, 6648, 2702, 5674, 842, 6908, 1164, 32154, 56793, 9640, 7680, 3463, 758, 6682, 385, 1618, 12564, 3870, 3208, 5854, 1368, 10305, 13568, 3458, 5562, 538, 2098, 35172, 1486, 739, 19124, 974, 7147, 1182, 2088, 747, 858, 623, 1475, 1256, 482, 424, 3424, 1273, 1318, 5528, 973, 1833, 1420, 1263, 1715, 1557, 221, 2098, 927, 2176, 1474, 1538, 2344, 3344, 2176, 961, 2206, 23320, 620, 2524, 7127, 1110, 31757, 65794, 846, 1010, 1299, 686, 1090, 3218, 2419, 1459, 198, 1618, 437, 1125, 1538, 1589, 1498, 2098, 303, 16657, 1798, 174, 853, 582, 1683, 4114, 1067, 2176, 246, 801, 4709, 269, 1601, 254, 9557, 67887, 2332, 3407, 1970, 768, 968, 419, 623, 1469, 1434, 8475, 1246, 237, 465, 1357, 852, 1267, 17057, 1885, 960, 1376, 1498, 571, 1776, 1428, 912, 5902, 1704, 1048, 349, 38030, 4038, 1133, 4653, 1084, 675, 1801, 1768, 531, 787, 405, 1081, 2208, 1022, 1028, 1133, 2020, 23003, 32832 
ありふれた人生, 34615, 3078, 9687, 1063, 3608, 7818, 2001, 0, 1485, 4681, 5568, 8195, 18580, 2273, 1689, 945, 20433, 631, 4477, 4625, 13159, 12783, 3106, 551, 11704, 7670, 4546, 47877, 1849, 7570, 1887, 42435, 36749, 677, 3274, 2890, 5982, 2879, 1905, 28671, 1110, 15336, 21510, 12592, 8360, 9928, 2872, 6458, 2073, 13087, 5995, 23165, 21640, 2835, 1507, 5866, 3133, 26394, 12189, 16366, 3444, 6205, 1539, 2593, 3288, 2902, 5047, 4609, 1835, 3570, 6343, 1899, 5162, 3934, 7564, 2741, 10170, 780, 7573, 14411, 5893, 7178, 1807, 3384, 3972, 3018, 999, 6393, 3070, 9224, 1415, 21528, 1380, 2147, 1124, 13721, 30690, 5151, 1709, 21195, 1684, 6522, 10339, 9358, 24221, 1234, 3471, 960, 1538, 6829, 9993, 17362, 23768, 15645, 1061, 4214, 2440, 7835, 14229, 35010, 2020, 14177, 561, 6495, 12196, 3369, 2487, 2171, 4695, 3965, 5527, 19895, 43914, 6489, 2873, 3292, 1967, 4119, 2552, 4309, 8281, 1549, 2265, 2995, 2229, 4094, 6747, 2135, 5173, 1861, 7609, 24939, 2883, 4764, 12691, 5113, 4320, 5823, 2649, 4484, 4361, 3778, 6474, 1929, 3035, 3729, 4141, 6134, 5467, 2347, 5194, 7058, 6373, 6140, 6884, 1012, 2670, 7609, 5302, 7781, 5857, 6317, 4705, 817, 7813, 680, 1853, 14617, 3319, 1287, 3374, 5525, 22688, 47855, 4801, 4853, 5766, 4139, 5227, 1563, 1858, 6352, 2911, 6377, 2934, 5562, 6109, 6776, 6499, 7609, 3206, 10334, 7045, 1937, 4884, 2511, 2274, 4361, 5352, 7781, 2303, 3352, 3114, 1668, 6250, 2093, 3706, 51626, 2437, 804, 7499, 4255, 1937, 3438, 998, 6374, 6275, 3794, 5491, 2258, 2982, 6074, 4779, 6002, 10560, 7252, 4753, 5101, 6273, 3554, 2477, 6127, 2155, 1619, 671, 5409, 2374, 28969, 1021, 1632, 2954, 5373, 3998, 7052, 6937, 2996, 4030, 1374, 5486, 597, 4501, 5315, 5412, 2217, 15298, 22393 
あわ, 38406, 1883, 10386, 850, 2853, 6631, 2064, 1485, 0, 3552, 7111, 9240, 17929, 2372, 4068, 1096, 18004, 1090, 3348, 8624, 14820, 15158, 2129, 1766, 13029, 6301, 3267, 48316, 964, 9777, 2070, 43140, 37146, 2396, 2589, 1631, 7541, 2274, 2392, 30258, 1403, 16897, 21883, 12907, 8841, 12003, 1873, 5111, 1402, 12994, 4670, 21208, 24157, 5196, 1578, 6811, 1576, 26045, 12676, 14463, 1927, 4964, 958, 4522, 1941, 1491, 4450, 3480, 430, 2011, 5442, 1638, 3953, 2613, 8583, 2642, 9253, 1483, 6522, 14316, 4288, 7189, 1238, 2605, 3177, 2753, 1550, 8312, 1957, 11061, 1246, 19029, 1477, 1688, 1849, 13402, 32445, 7278, 1152, 20138, 3361, 6055, 10848, 8613, 24838, 1183, 2810, 1485, 1719, 6164, 9588, 16229, 26121, 14754, 3066, 3785, 2427, 7492, 16148, 34641, 419, 14510, 1584, 6506, 13647, 3700, 1492, 2750, 3180, 3256, 4778, 23004, 44615, 5484, 3334, 1471, 1356, 3824, 1737, 3180, 7924, 1616, 1088, 1894, 816, 6627, 6498, 1882, 4166, 1034, 6480, 22542, 1776, 3937, 10584, 3932, 2687, 4770, 2032, 3049, 3354, 2961, 5351, 500, 2094, 3064, 3012, 4885, 4368, 1498, 3969, 6007, 5378, 4865, 5709, 929, 2219, 6480, 4219, 6652, 4728, 5084, 4016, 1296, 6668, 681, 1210, 14952, 2666, 460, 3103, 4626, 20891, 51834, 3918, 3674, 4645, 2834, 3986, 1360, 535, 5461, 2590, 5248, 2347, 4827, 4980, 5509, 5766, 6480, 2761, 10091, 6048, 1550, 3669, 1426, 981, 3232, 4525, 6652, 2228, 2553, 2183, 2133, 5111, 1664, 5045, 54471, 1636, 2371, 6332, 3200, 1744, 2731, 873, 5479, 5148, 3371, 4290, 1977, 1953, 5215, 4138, 4841, 11213, 6193, 3568, 3972, 5248, 2605, 2004, 4988, 1734, 3698, 890, 4860, 1659, 28804, 2400, 1229, 3265, 4208, 2981, 6065, 5888, 1795, 2725, 1173, 4131, 1860, 3636, 4698, 4571, 1862, 14135, 24128 
いろは, 60808, 2817, 21608, 5562, 353, 1363, 1426, 4681, 3552, 0, 17515, 19816, 33729, 790, 9820, 5010, 34430, 2604, 18, 16856, 26372, 28612, 807, 4012, 26829, 15663, 9877, 73964, 5574, 21445, 7196, 66316, 57868, 4364, 8597, 8437, 18447, 9306, 1362, 50830, 6409, 32045, 38787, 25979, 20091, 23019, 4229, 1123, 3140, 27526, 618, 39950, 38727, 13178, 1908, 17593, 2054, 43407, 26158, 29801, 5725, 1094, 3084, 12368, 925, 1823, 708, 2, 2484, 1819, 836, 2666, 947, 9131, 19497, 9114, 20595, 2719, 1314, 30010, 1118, 16803, 2278, 1225, 10483, 6033, 1858, 18780, 7379, 23583, 1780, 36007, 4671, 3708, 2695, 27794, 52109, 15844, 6406, 36586, 7185, 15765, 22652, 17947, 43756, 3317, 428, 1931, 1045, 14646, 20518, 31073, 45161, 29266, 8960, 857, 9189, 15618, 30636, 55155, 5087, 28082, 4804, 15706, 27257, 11166, 5084, 9314, 1376, 9340, 678, 40092, 66137, 11632, 9314, 5455, 2356, 10250, 947, 72, 17286, 7000, 5518, 7798, 2038, 15721, 16770, 5010, 8014, 1814, 1152, 40936, 2700, 659, 23922, 482, 10595, 876, 1266, 675, 192, 425, 1027, 2570, 802, 582, 1458, 1023, 234, 7724, 631, 929, 1028, 1029, 1063, 3099, 591, 1152, 849, 1250, 288, 1094, 2954, 6112, 1358, 2401, 4712, 28406, 766, 3778, 10045, 946, 38137, 77778, 720, 974, 991, 554, 294, 6048, 4069, 883, 890, 512, 339, 679, 392, 1105, 1134, 1152, 1137, 22417, 1026, 982, 629, 1326, 3591, 2048, 511, 1250, 1368, 143, 7905, 1907, 421, 1250, 11521, 80179, 4606, 6769, 1268, 1048, 1450, 419, 2477, 981, 788, 11169, 486, 1391, 1321, 829, 516, 1003, 23383, 1163, 382, 50, 672, 1551, 946, 714, 1232, 8614, 4110, 844, 903, 45408, 5834, 2895, 7485, 658, 815, 1071, 1154, 1187, 1495, 1425, 671, 4302, 104, 756, 651, 4632, 29001, 41646 
